"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046637","regulation of alpha-beta T cell differentiation","13/1628","81/25615",0.160493827160494,2.52521460854794,3.5817228208866,0.00171611280037076,0.015571057386415,0.015571057386415,"Tgfbr2/Jak3/Zbtb16/Ep300/Tgfb1/Zbtb7b/Ap3b1/Cd1d1/Klhl25/Brd2/Itpkb/Brd4/Loxl3",13
"GO:0051147","regulation of muscle cell differentiation","21/1628","164/25615",0.128048780487805,2.01472328758914,3.39621410442556,0.00172373367669897,0.0156181454712471,0.0156181454712471,"Hdac4/Nfatc1/Ccnt2/Ptbp1/Mmp14/Rbpms2/Pias1/Csrp3/Pdcd4/Ep300/Gsk3a/Maml1/Ctdp1/Tgfb1/Bmp2/Supt6/Efnb2/Id2/Hamp2/Nid1/Frs2",21
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","16/1628","111/25615",0.144144144144144,2.26796821391416,3.4877362995333,0.001737908856338,0.01572440351143,0.01572440351143,"Gata4/Fyn/Uri1/Triap1/Atf4/Zfp385a/Clu/Dnaja1/Eno1/Rrn3/Ptpn1/Stat3/Pink1/Akt1/Park7/Hsph1",16
"GO:0050807","regulation of synapse organization","42/1628","412/25615",0.101941747572816,1.60395446196417,3.21962000907747,0.00176011844990436,0.0158806192727326,0.0158806192727326,"Cd47/Erbb4/Apoe/Vldlr/Fyn/Actr2/Vps35/Itsn1/Nf1/Ngef/Ppp1r9b/Mrtfb/Numb/Chd4/Plxnc1/Srpx2/Nedd4l/Fcgr2b/Adgrl2/Dock1/Shank3/Nedd4/Nedd9/Arhgap32/Ptpn1/Myh10/Mark2/Abl1/Asap1/Setd5/Dctn1/Ccdc141/Abhd17a/Rheb/Adgrl4/Pafah1b1/Hspa8/Nedd8/Kalrn/Akt1/Cdk5/Mrtfa",42
"GO:0050900","leukocyte migration","42/1628","412/25615",0.101941747572816,1.60395446196417,3.21962000907747,0.00176011844990436,0.0158806192727326,0.0158806192727326,"Cd47/Rarres2/Csf3r/Mtus1/Stk10/Lbp/Abl2/Mospd2/Il1r1/Rps19/Mmp2/Fcer1g/Golph3/Mmp14/Plg/Cxcl14/Msn/Jam2/Tgfb1/Itga7/Gbf1/Arhgef5/Icam1/Irak4/Pla2g7/Nedd9/Itga9/Bcr/Abl1/Flt1/Fer/Pecam1/C3/Tirap/Cnr2/Oxsr1/Lyve1/Lgmn/S1pr1/Akt1/Plec/Spi1",42
"GO:0035051","cardiocyte differentiation","25/1628","209/25615",0.119617224880383,1.88206094306573,3.33565805450094,0.00176647219923541,0.015915592437431,0.015915592437431,"Sox18/Map2k4/Hes1/Gata4/Csrp3/Pdcd4/Srf/Ep300/Gsk3a/Maml1/Ctdp1/Tgfb1/Bmp2/Dicer1/Akap13/Efnb2/Myh10/Hamp2/Ankrd11/Frs2/Kdm6b/Zmpste24/Plec/Adra1a/Tbx3",25
"GO:0014029","neural crest formation","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Kbtbd8/Sox9/Pdcd6/Nolc1/Tcof1",5
"GO:0017038","protein import","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Apoe/Gpihbp1/Clu/Arhgef5/Fkrp",5
"GO:0032372","negative regulation of sterol transport","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Apoe/Apoc2/Srebf2/Apoc1/Apoc3",5
"GO:0032375","negative regulation of cholesterol transport","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Apoe/Apoc2/Srebf2/Apoc1/Apoc3",5
