"gene","score"
"Cxcl14",1.3146571819267
"Nid1",1.3146571819267
"Prcc",1.31432399553414
"Sec14l1",1.30959168133615
"Itsn1",1.30959168133615
"Capn10",1.30893664657456
"Tek",1.30893664657456
"Nat8",1.3086679733548
"Psip1",1.30796356253072
"Hdac6",1.30757125071714
"Ptpn1",1.30660461484191
"Rsu1",1.30602819311826
"Jam2",1.30485375611744
"Mta2",1.30485375611744
"Nf2",1.30240882798554
"Nat10",1.30151938062866
"Sfr1",1.30036248915226
"Tjap1",1.29945182620119
"Jak3",1.29945182620119
"Pa2g4",1.29871861959567
"Lyar",1.2948360833809
"Zfp768",1.29228994519797
"Tet3",1.2919744682039
"Serpina3n",1.29178633776263
"Taco1",1.29178633776263
"Tpm3",1.29175107907351
"Efl1",1.29080878523857
"Bag6",1.28946474427826
"Abcg1",1.28911432521377
"Chd7",1.28802363647927
"Tsg101-ps",1.28405684760008
"Bcas3",1.28288243627613
"Thap2",1.2804279204088
"Smn1",1.2791703973339
"Tbc1d2b",1.27793207524551
"Galc",1.27774837616497
"Crlf2",1.27763925385903
"Mon1b",1.27497486010543
"Tcof1",1.27497486010543
"Xrn2",1.27495021075638
"Atf4",1.27428267541134
"Bcl9",1.27428267541134
"B4galnt1",1.27428267541134
"Kcp",1.27428267541134
"Emsy",1.27428267541134
"Clu",1.27395715047411
"Il4ra",1.272667287284
"Hspg2",1.26982134673695
"Rab6a",1.26950131775768
"Ubqln2",1.26835652213476
"Il6st",1.26835652213476
"Map7",1.26769251761721
"Mtus1",1.26539345455861
"Cd93",1.26430481415477
"Avpr1a",1.26358488429009
"Ppp2r5c",1.2628839194298
"Zbtb7b",1.26060171330103
"Vps26b",1.25828532858197
"Palld",1.25633681872714
"Casc3",1.25622132316817
"Scaf8",1.25437955865575
"Zswim1",1.25437955865575
"Serinc5",1.25437955865575
"Tjp2",1.25358882369756
"Srf",1.25240117844141
"Clint1",1.25220521626758
"Clasp1",1.25033066316003
"Cep162",1.25033066316003
"Lsr",1.25033066316003
"Tmcc2",1.25033066316003
"P2rx7",1.25033066316003
"Arl10",1.25033066316003
"Apcs",1.24849831148201
"Rbpms2",1.24849831148201
"Pik3ap1",1.24712187996747
"Srrm4",1.24656179300967
"Peg13",1.24565974831989
"Lrrc32",1.24529065981378
"Mast2",1.24420387178359
"Pcdh12",1.24420387178359
"Plbd2",1.24398886274636
"Tbc1d5",1.24377260220497
"Arpin",1.2433378852083
"Lrp1",1.24160060959965
"Fbxo8",1.23928637298852
"Zbtb7c",1.23928637298852
"F5",1.23841892004678
"Sort1",1.23576414150093
"Rad21",1.23550092699145
"Adra1a",1.2320580163718
"Rgl3",1.23179785311252
"Ecd",1.22993961515892
"Zfp324",1.22635108922681
"Fubp3",1.22634018303246
"Sgsh",1.2259239670869
"BC005624",1.22508399053824
"Tnfaip1",1.2236442291835
"Hes1",1.22273888694939
"Adgrl2",1.21921251279549
"Vasp",1.21921251279549
"Isyna1",1.21825356866633
"Usp46",1.21568003362573
"Arhgef5",1.21458180357631
"Capn15",1.21242186967726
"Crybg1",1.21242186967726
"Bcr",1.21208622204778
"Spats2",1.21155382745506
"Tgfbr2",1.21155382745506
"Sf3b3",1.21151288496032
"Phf8",1.21066333498895
"Tbck",1.21066333498895
"Gsk3a",1.21066333498895
"Cadm4",1.20867154929855
"Id2",1.20850570067319
"Vkorc1l1",1.20824864063493
"C1qc",1.20579682112393
"Men1",1.20389473185532
"Fbrsl1",1.20371028659606
"Ints9",1.20332625873541
"Vps37b",1.20085973262522
"Zc3h7b",1.19816270205718
"Fam241a",1.19641629122389
"Ctr9",1.19641629122389
"Phf3",1.1963945249946
"Acbd3",1.1963945249946
