"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","19/890","132/11162",0.143939393939394,1.80522642151856,2.7392790634515,0.00839257805312003,0.0598768478800178,0.0598768478800178,"21813/68652/18018/14360/14284/16177/21937/16451/14130/21803/16477/11433/16478/11652/16439/11651/19697/15980/20375",19
"Metabolism","Energy metabolism","mmu00920","Sulfur metabolism","4/890","11/11162",0.363636363636364,4.56057201225741,3.47758905603509,0.00840677806911425,0.0598768478800178,0.0598768478800178,"20341/211389/22117/59010",4
"Genetic Information Processing","Chromosome","mmu03083","Polycomb repressive complex","14/890","88/11162",0.159090909090909,1.99525025536262,2.75892837733991,0.00946822815492367,0.0660882325213672,0.0660882325213672,"381668/68837/216080/328572/212391/228790/21402/12914/71458/22658/17187/15161/110962/17425",14
"Environmental Information Processing","Signaling molecules and interaction","mmu04518","Integrin signaling","21/890","153/11162",0.137254901960784,1.72139237717559,2.64461453467754,0.00987615275230208,0.0675838688343809,0.0675838688343809,"22330/225341/60595/170736/21803/16404/15894/14257/104099/15234/14254/11652/12266/110135/99571/19303/14161/11651/110829/16542/14268",21
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","11/890","63/11162",0.174603174603175,2.18979846620296,2.78753805997289,0.0103442435239354,0.0694257882664124,0.0694257882664124,"11671/67512/68393/102247/215456/56752/67800/14933/58810/16891/72535",11
"Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism","8/890","39/11162",0.205128205128205,2.57263036588879,2.89578986724208,0.0105558127521744,0.0695090311416765,0.0695090311416765,"11484/11611/212647/27053/52633/76282/268782/70503",8
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway","11/890","64/11162",0.171875,2.15558286516854,2.72890094888807,0.0116187710905344,0.0750916872332687,0.0750916872332687,"15205/56381/54485/18222/328572/52335/103806/207521/21887/12914/13544",11
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","12/890","73/11162",0.164383561643836,2.06162844389718,2.67859365829362,0.0121904230532469,0.0773537753742395,0.0773537753742395,"14872/14871/66116/66447/14778/68396/16790/56615/76263/14782/11758/269951",12
"Genetic Information Processing","Folding, sorting and degradation","mmu03018","RNA degradation","13/890","83/11162",0.156626506024096,1.96434276431569,2.59560883199119,0.0137767599307005,0.0858587359966871,0.0858587359966871,"57316/18458/68533/232791/13806/66446/225929/214627/66317/24128/53621/104625/66583",13
"Environmental Information Processing","Signaling molecules and interaction","mmu04517","IgSF CAM signaling","35/890","300/11162",0.116666666666667,1.46318352059925,2.39374497471896,0.0144194261331175,0.0868180849287924,0.0868180849287924,"14924/260299/70584/192786/17904/13822/74192/14360/66713/22330/20742/56378/17698/60595/67374/21873/67771/15894/98932/233977/216963/77579/11350/11652/107449/110135/99571/21872/19303/14161/111173/11651/17886/19247/16542",35
"Metabolism","Metabolism of cofactors and vitamins","mmu00785","Lipoic acid metabolism","5/890","19/11162",0.263157894736842,3.30041395623891,2.95393395488285,0.0144282204179655,0.0868180849287924,0.0868180849287924,"13382/12040/12039/68263/68133",5
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","16/890","112/11162",0.142857142857143,1.7916532905297,2.47846017931356,0.0158255204809167,0.0936119770820325,0.0936119770820325,"21813/17125/328572/21803/12156/218441/22042/12161/21402/12914/14313/104394/15902/66438/20185/434215",16
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","11/890","67/11162",0.164179104477612,2.05906422941472,2.55926407132226,0.0161658443603455,0.0940313280293427,0.0940313280293427,"21991/14121/13382/11671/68263/56752/58810/13806/11532/72535/11522",11
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","12/890","76/11162",0.157894736842105,1.98024837374335,2.52391393525565,0.0165377810740994,0.0946177966370603,0.0946177966370603,"100727/14872/14871/66447/231396/56615/76971/76263/11532/72094/11522/13077",12
